,Geolocation,Year,7.1.1 Proportion of population with access to electricity
120,Region 9: Zamboanga Peninsula,2015,71.0872493494566
121,Region 10: Northern Mindanao,2015,77.39253702260326
122,Region 11: Davao Region,2015,86.91525818706664
123,Region 12: SOCCSKSARGEN,2015,65.69149246403276
124,CARAGA: Cordillera Administrative Region,2015,92.5365566037736
125,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,38.51442063770831
126,PHILIPPINES,2016,90.65
127,NCR: National Capital Region,2016,98.2594430821432
128,CAR: Cordillera Administrative Region,2016,90.3
129,Region 1: Ilocos Region,2016,93.90044671238763
130,Region 2: Cagayan Valley,2016,93.09517750349916
131,Region 3: Central Luzon,2016,97.37316403387626
132,Region 4A: CALABARZON,2016,96.670557699125
133,MIMAROPA: Southwestern Tagalog Region,2016,84.14145512837325
134,Region 5: Bicol Region,2016,89.96431162635442
135,Region 6: Western Visayas,2016,94.94571758871248
136,Region 7: Central Visayas,2016,97.0226648519686
137,Region 8: Eastern Visayas,2016,89.35298797260126
138,Region 9: Zamboanga Peninsula,2016,74.1379520830154
139,Region 10: Northern Mindanao,2016,81.67300621702528
140,Region 11: Davao Region,2016,73.09342361294937
141,Region 12: SOCCSKSARGEN,2016,70.60136144568145
142,CARAGA: Cordillera Administrative Region,2016,96.10087214085895
143,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,40.91513276537529
144,PHILIPPINES,2017,91.09
145,NCR: National Capital Region,2017,103.02319361347078
146,CAR: Cordillera Administrative Region,2017,92.45177212344112
147,Region 1: Ilocos Region,2017,99.15406784650264
148,Region 2: Cagayan Valley,2017,94.77038215768664
149,Region 3: Central Luzon,2017,107.08248167389944
150,Region 4A: CALABARZON,2017,104.9251415142272
151,MIMAROPA: Southwestern Tagalog Region,2017,82.91951578219575
152,Region 5: Bicol Region,2017,78.75184660573929
153,Region 6: Western Visayas,2017,86.05733186457009
154,Region 7: Central Visayas,2017,95.85921885556762
155,Region 8: Eastern Visayas,2017,84.31119175829916
156,Region 9: Zamboanga Peninsula,2017,63.2422402370314
157,Region 10: Northern Mindanao,2017,88.96847244635062
158,Region 11: Davao Region,2017,68.2475258203881
159,Region 12: SOCCSKSARGEN,2017,64.05366048654206
160,CARAGA: Cordillera Administrative Region,2017,107.16947163516954
161,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,27.27177478501253
162,PHILIPPINES,2018,96.12
163,NCR: National Capital Region,2018,107.61481972474664
164,CAR: Cordillera Administrative Region,2018,95.6221692882457
165,Region 1: Ilocos Region,2018,102.2016639039135
166,Region 2: Cagayan Valley,2018,97.91379696163504
167,Region 3: Central Luzon,2018,109.12455514350349
168,Region 4A: CALABARZON,2018,110.43349139695702
169,MIMAROPA: Southwestern Tagalog Region,2018,87.27023970656307
170,Region 5: Bicol Region,2018,82.38545700871656
171,Region 6: Western Visayas,2018,92.01106582230256
172,Region 7: Central Visayas,2018,99.10749387340007
173,Region 8: Eastern Visayas,2018,89.16009830482
174,Region 9: Zamboanga Peninsula,2018,68.90852194454837
175,Region 10: Northern Mindanao,2018,92.36390971964536
176,Region 11: Davao Region,2018,83.68633865580261
177,Region 12: SOCCSKSARGEN,2018,70.42724711615335
178,CARAGA: Cordillera Administrative Region,2018,115.32059518959218
179,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,34.8264384213029
180,PHILIPPINES,2019,92.96
181,NCR: National Capital Region,2019,100.0
182,CAR: Cordillera Administrative Region,2019,93.3197097107464
183,Region 1: Ilocos Region,2019,98.68733767558822
184,Region 2: Cagayan Valley,2019,95.53569208583008
185,Region 3: Central Luzon,2019,99.42919661273972
186,Region 4A: CALABARZON,2019,99.01244009470896
187,MIMAROPA: Southwestern Tagalog Region,2019,90.25045849519825
188,Region 5: Bicol Region,2019,91.5266178403694
189,Region 6: Western Visayas,2019,90.91694982689992
190,Region 7: Central Visayas,2019,96.8050458229654
191,Region 8: Eastern Visayas,2019,94.00859913602925
192,Region 9: Zamboanga Peninsula,2019,72.35588743510853
193,Region 10: Northern Mindanao,2019,92.50294123569292
194,Region 11: Davao Region,2019,86.02051363060008
195,Region 12: SOCCSKSARGEN,2019,81.76228728061827
196,CARAGA: Cordillera Administrative Region,2019,100.0
197,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,35.80486310919832
198,PHILIPPINES,2020,94.49
199,NCR: National Capital Region,2020,100.0
200,CAR: Cordillera Administrative Region,2020,94.3
201,Region 1: Ilocos Region,2020,99.02
202,Region 2: Cagayan Valley,2020,99.63
203,Region 3: Central Luzon,2020,99.74
204,Region 4A: CALABARZON,2020,99.17
205,MIMAROPA: Southwestern Tagalog Region,2020,91.01
206,Region 5: Bicol Region,2020,93.65
207,Region 6: Western Visayas,2020,92.98
208,Region 7: Central Visayas,2020,97.67
209,Region 8: Eastern Visayas,2020,96.86
210,Region 9: Zamboanga Peninsula,2020,78.3
211,Region 10: Northern Mindanao,2020,94.81
212,Region 11: Davao Region,2020,88.4
213,Region 12: SOCCSKSARGEN,2020,85.91
214,CARAGA: Cordillera Administrative Region,2020,100.0
215,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,43.1
