Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 12: SOCCSKSARGEN,2002,-2370092.0,,,4.0,2.6,14099278.0,109032491.0,3128080.0,,,,,,,
CARAGA: Cordillera Administrative Region,2002,-12743708.0,,,2.4,3.6,7031623.0,62421224.0,2168877.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2002,2709746.0,,,1.8,13.5,10158618.0,53170834.0,3134866.0,,,,,,,
PHILIPPINES,2003,40200557.0,,,100.0,3.9,921328434.0,4717808940.0,81398610.0,,,,,,,
NCR: National Capital Region,2003,38680890.0,,,44.7,5.0,350366278.0,1545711905.0,10536574.0,,,,,,,
CAR: Cordillera Administrative Region,2003,2816938.0,,,2.6,-1.4,19788755.0,113075065.0,1451561.0,,,,,,,
Region 1: Ilocos Region,2003,1563172.0,,,4.0,0.3,32967294.0,157948520.0,4376079.0,,,,,,,
Region 2: Cagayan Valley,2003,7434120.0,,,2.6,4.6,40755790.0,99116555.0,2943564.0,,,,,,,
Region 3: Central Luzon,2003,-11413915.0,,,4.9,19.7,64973784.0,494424474.0,8797491.0,,,,,,,
Region 4A: CALABARZON,2003,-5564609.0,,,5.0,5.1,111408235.0,788436127.0,10334289.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2003,1015582.0,,,2.1,-9.0,12029760.0,95423489.0,2443548.0,,,,,,,
Region 5: Bicol Region,2003,133123.0,,,3.5,-5.4,23452407.0,120066693.0,4920546.0,,,,,,,
Region 6: Western Visayas,2003,5708728.0,,,5.0,-1.9,45601881.0,220844486.0,6501206.0,,,,,,,
Region 7: Central Visayas,2003,15346129.0,,,2.9,13.7,70933637.0,251698543.0,6046025.0,,,,,,,
Region 8: Eastern Visayas,2003,-15430382.0,,,4.6,4.2,17339732.0,126148913.0,3744872.0,,,,,,,
Region 9: Zamboanga Peninsula,2003,-237244.0,,,3.6,-5.7,19815370.0,86783931.0,3033380.0,,,,,,,
Region 10: Northern Mindanao,2003,6801237.0,,,2.6,7.7,36803846.0,177471012.0,3761342.0,,,,,,,
Region 11: Davao Region,2003,13737486.0,,,3.5,-3.6,50647069.0,194422080.0,3923852.0,,,,,,,
Region 12: SOCCSKSARGEN,2003,-7479618.0,,,3.9,0.8,14305623.0,120147954.0,3201234.0,,,,,,,
CARAGA: Cordillera Administrative Region,2003,-11767663.0,,,2.4,10.8,3017840.0,68343455.0,2202744.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2003,-1143417.0,,,2.0,2.7,7121133.0,57745738.0,3180302.0,,,,,,,
PHILIPPINES,2004,115195365.0,,,100.0,7.8,1103698971.0,5323904177.0,82977428.0,,,,,,,
NCR: National Capital Region,2004,90746761.0,,,45.1,5.8,445396815.0,1743576537.0,10729137.0,,,,,,,
CAR: Cordillera Administrative Region,2004,5942522.0,,,2.5,14.3,24257807.0,126064714.0,1477718.0,,,,,,,
Region 1: Ilocos Region,2004,11013024.0,,,3.9,11.9,45222018.0,178137944.0,4431377.0,,,,,,,
Region 2: Cagayan Valley,2004,14501407.0,,,2.7,5.7,51068600.0,117674721.0,2985160.0,,,,,,,
Region 3: Central Luzon,2004,-18880906.0,,,5.7,3.8,68231368.0,548718978.0,8989170.0,,,,,,,
Region 4A: CALABARZON,2004,-7379076.0,,,5.1,19.4,117422285.0,881529587.0,10661585.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2004,-2997026.0,,,1.8,25.2,9464169.0,103521732.0,2488772.0,,,,,,,
Region 5: Bicol Region,2004,2225757.0,,,3.2,18.4,28387601.0,135875452.0,4994449.0,,,,,,,
Region 6: Western Visayas,2004,6233671.0,,,4.8,9.5,48709503.0,244363281.0,6591799.0,,,,,,,
Region 7: Central Visayas,2004,14804151.0,,,3.2,0.6,76422804.0,286487926.0,6154912.0,,,,,,,
Region 8: Eastern Visayas,2004,-19334525.0,,,4.6,0.3,18965733.0,147430426.0,3791309.0,,,,,,,
Region 9: Zamboanga Peninsula,2004,4012508.0,,,3.2,14.6,25632443.0,96967352.0,3093932.0,,,,,,,
Region 10: Northern Mindanao,2004,14742998.0,,,2.7,16.5,46562387.0,204146137.0,3841588.0,,,,,,,
Region 11: Davao Region,2004,10215524.0,,,3.3,15.9,54960082.0,221493390.0,4003049.0,,,,,,,
Region 12: SOCCSKSARGEN,2004,-3010553.0,,,3.8,0.6,21311622.0,139197728.0,3274168.0,,,,,,,
CARAGA: Cordillera Administrative Region,2004,-12195146.0,,,2.5,1.4,6226540.0,77441587.0,2236502.0,,,,,,,
