Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 4A: CALABARZON,2010,-74356788.0,,,6.9,7.1,201552417.0,1486403920.0,12663339.0,3.75,2.55,4.86,5.9,3.9,8.0,
MIMAROPA: Southwestern Tagalog Region,2010,-5964736.0,,,2.4,5.1,19103351.0,191713018.0,2751341.0,6.25,4.79,7.56,9.4,7.4,11.5,
Region 5: Bicol Region,2010,13023064.0,,,4.0,8.2,63983684.0,246110918.0,5432002.0,5.79,4.51,6.91,8.6,5.8,11.4,
Region 6: Western Visayas,2010,11296248.0,,,4.6,8.0,78853405.0,433178888.0,7115840.0,6.56,4.88,8.05,7.5,5.5,9.4,
Region 7: Central Visayas,2010,3078295.0,,,3.0,11.1,97617542.0,539482115.0,6818314.0,4.82,3.44,6.03,7.8,5.8,9.8,
Region 8: Eastern Visayas,2010,4583287.0,,,3.6,36.4,66576295.0,254164654.0,4111674.0,6.42,4.89,7.8,9.9,8.3,11.6,
Region 9: Zamboanga Peninsula,2010,16848217.0,,,2.9,11.3,54249749.0,195081265.0,3414199.0,10.41,8.41,12.25,10.1,8.4,11.9,
Region 10: Northern Mindanao,2010,10258443.0,,,3.4,15.3,73568066.0,394980142.0,4309258.0,7.95,6.23,9.53,6.0,4.5,7.5,
Region 11: Davao Region,2010,28070422.0,,,3.0,11.3,108400878.0,403461237.0,4481458.0,8.8,6.77,10.63,9.2,6.6,11.9,
Region 12: SOCCSKSARGEN,2010,-9587180.0,,,3.2,-3.1,33894195.0,252178036.0,3701963.0,8.9,7.43,10.28,8.7,7.4,10.1,
CARAGA: Cordillera Administrative Region,2010,-3984307.0,,,2.2,3.9,30642970.0,143337552.0,2434366.0,6.72,5.04,8.22,9.3,7.9,10.7,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,-9557387.0,,,2.3,36.4,22262068.0,131635468.0,3692323.0,18.1,16.95,19.37,11.2,10.5,12.2,
PHILIPPINES,2011,178559066.0,,,100.0,21.1,2103996324.0,10144661327.0,94227150.0,6.36,5.18,7.45,7.8,5.6,10.0,
NCR: National Capital Region,2011,37960386.0,,,42.1,19.9,720272869.0,3237138656.0,12080971.0,2.93,2.42,3.86,5.8,3.9,7.6,
CAR: Cordillera Administrative Region,2011,20906816.0,,,2.1,23.0,49944680.0,200486679.0,1641438.0,4.91,3.57,6.1,6.4,2.7,10.0,
Region 1: Ilocos Region,2011,22315022.0,,,3.7,21.9,84747579.0,334384268.0,4810293.0,3.36,2.53,4.1,6.9,4.9,8.9,
Region 2: Cagayan Valley,2011,26715349.0,,,2.5,10.9,80940288.0,213085202.0,3278100.0,4.73,3.59,5.77,6.3,4.4,8.1,
Region 3: Central Luzon,2011,9838677.0,,,6.7,22.8,216166904.0,1096258667.0,10372806.0,4.07,3.17,4.9,7.6,5.5,9.7,
Region 4A: CALABARZON,2011,-65654452.0,,,6.9,26.4,217059209.0,1582459854.0,13003881.0,2.46,1.83,3.7,4.5,2.7,6.3,
MIMAROPA: Southwestern Tagalog Region,2011,5318716.0,,,2.3,24.2,28886357.0,212158911.0,2793725.0,6.13,4.86,7.27,8.9,6.1,11.7,
Region 5: Bicol Region,2011,8723895.0,,,4.0,26.4,59544473.0,266892594.0,5504085.0,5.7,4.46,6.8,9.3,6.6,11.9,
Region 6: Western Visayas,2011,21788503.0,,,4.6,21.9,93884238.0,477427428.0,7200096.0,5.64,4.17,6.95,7.4,5.0,9.6,
Region 7: Central Visayas,2011,9876532.0,,,3.0,28.8,117435296.0,592227842.0,6930757.0,4.23,2.83,5.47,8.1,5.1,10.9,
Region 8: Eastern Visayas,2011,22366355.0,,,4.5,18.4,78986608.0,272677861.0,4172100.0,7.97,6.35,9.42,11.0,8.5,13.5,
Region 9: Zamboanga Peninsula,2011,15780164.0,,,2.9,13.6,51040945.0,210255381.0,3460521.0,9.91,7.87,11.77,9.8,7.7,12.1,
Region 10: Northern Mindanao,2011,8443267.0,,,3.6,18.0,75523122.0,436363852.0,4385050.0,8.74,6.99,10.33,11.8,9.2,14.4,
Region 11: Davao Region,2011,38166974.0,,,3.1,22.6,119476612.0,437559437.0,4561874.0,9.35,7.34,11.16,9.3,6.8,11.7,
Region 12: SOCCSKSARGEN,2011,-1487405.0,,,2.8,27.5,47361834.0,277035863.0,3771762.0,8.59,6.94,10.13,9.6,7.6,11.7,
CARAGA: Cordillera Administrative Region,2011,6678630.0,,,2.1,27.0,45391556.0,156504793.0,2466625.0,8.05,6.1,9.8,10.1,8.4,11.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,-9178363.0,,,2.8,14.2,17333754.0,141744037.0,3793064.0,22.72,22.22,23.26,12.3,10.6,14.5,
PHILIPPINES,2012,-42228645.0,,,100.0,9.2,2163531693.0,11060588831.0,95870083.0,6.24,5.12,7.25,8.1,6.2,10.0,
NCR: National Capital Region,2012,-53978335.0,,,41.7,10.3,758973608.0,3553088571.0,12275553.0,4.1,3.27,4.88,6.9,4.9,8.8,
CAR: Cordillera Administrative Region,2012,268953.0,,,2.1,4.5,29548738.0,201836502.0,1662169.0,4.79,3.77,5.7,6.9,4.1,9.7,
Region 1: Ilocos Region,2012,-424963.0,,,3.7,6.4,68070088.0,356651167.0,4863510.0,3.1,2.48,3.66,6.1,4.2,7.8,
Region 2: Cagayan Valley,2012,20349948.0,,,2.3,2.9,79946525.0,234724620.0,3320398.0,3.93,2.97,4.81,6.9,5.2,8.7,
Region 3: Central Luzon,2012,15729819.0,,,6.8,12.5,244530920.0,1206580595.0,10577379.0,3.71,2.89,4.46,7.6,5.6,9.4,
Region 4A: CALABARZON,2012,-58510828.0,,,7.2,6.3,231742975.0,1721867470.0,13347384.0,3.26,1.71,4.26,5.4,3.6,7.2,
MIMAROPA: Southwestern Tagalog Region,2012,512923.0,,,2.4,3.7,24934114.0,231318002.0,2835835.0,5.87,4.52,7.06,7.7,5.6,9.8,
Region 5: Bicol Region,2012,7479267.0,,,4.2,5.8,69740827.0,298247874.0,5576135.0,5.35,4.17,6.37,9.2,6.5,11.8,
Region 6: Western Visayas,2012,3128975.0,,,4.7,3.6,95477787.0,527279962.0,7283710.0,4.8,3.46,5.99,7.7,5.5,9.7,
Region 7: Central Visayas,2012,-24630912.0,,,3.2,17.3,113821899.0,674544563.0,7044060.0,4.19,2.79,5.42,8.3,5.8,10.7,
Region 8: Eastern Visayas,2012,-10166759.0,,,4.4,3.8,63244342.0,265041353.0,4234716.0,5.84,4.53,7.02,9.8,7.8,11.7,
Region 9: Zamboanga Peninsula,2012,26708235.0,,,2.8,9.3,66283144.0,236734323.0,3504953.0,11.5,9.69,13.14,12.0,10.1,14.1,
Region 10: Northern Mindanao,2012,635725.0,,,3.5,9.0,70513455.0,472652726.0,4460443.0,8.85,7.39,10.16,8.8,6.5,11.0,
Region 11: Davao Region,2012,29776593.0,,,3.2,12.0,128999339.0,454315711.0,4642716.0,8.58,6.77,10.2,8.7,6.8,10.5,
Region 12: SOCCSKSARGEN,2012,-15461679.0,,,3.0,8.9,27822285.0,291093120.0,3841332.0,7.94,6.51,9.26,9.3,7.7,11.0,
CARAGA: Cordillera Administrative Region,2012,23256019.0,,,2.2,1.7,68619229.0,180393968.0,2498771.0,6.47,4.64,8.11,10.4,8.5,12.2,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,-6901624.0,,,2.7,26.4,21262421.0,154218301.0,3901019.0,23.81,22.78,24.93,18.3,17.6,19.3,
PHILIPPINES,2013,-18218400.0,,,100.0,7.0,2487510204.0,12050591984.0,97516526.0,4.85,4.04,5.59,7.6,5.8,9.4,
NCR: National Capital Region,2013,-25567519.0,,,42.1,5.4,957586594.0,3890702252.0,12469854.0,4.36,3.78,4.89,7.2,5.8,8.7,
CAR: Cordillera Administrative Region,2013,-2783987.0,,,2.0,6.9,33081560.0,219989238.0,1682167.0,3.75,3.15,4.28,7.8,5.3,10.3,
Region 1: Ilocos Region,2013,-891655.0,,,3.6,14.3,75736595.0,393993447.0,4916323.0,1.92,1.42,2.37,5.3,3.5,6.9,
Region 2: Cagayan Valley,2013,-3805473.0,,,2.2,8.7,62731146.0,268304482.0,3362667.0,2.42,1.67,3.09,5.7,4.3,7.0,
Region 3: Central Luzon,2013,14493604.0,,,7.0,6.8,274814176.0,1306617621.0,10783003.0,1.9,1.37,2.37,5.3,3.8,6.7,
Region 4A: CALABARZON,2013,-11077119.0,,,7.0,11.5,290367514.0,1847878662.0,13691969.0,6.03,5.13,6.85,7.0,5.0,9.0,
MIMAROPA: Southwestern Tagalog Region,2013,-6946834.0,,,2.3,6.0,21427705.0,242953220.0,2877441.0,4.73,3.84,5.52,7.6,5.7,9.5,
Region 5: Bicol Region,2013,8305364.0,,,4.1,9.4,83011228.0,332295863.0,5647756.0,3.19,2.39,3.88,7.9,5.5,10.3,
Region 6: Western Visayas,2013,4547658.0,,,4.4,4.0,101336678.0,566792962.0,7366225.0,2.91,2.1,3.62,6.8,5.0,8.5,
Region 7: Central Visayas,2013,-15927072.0,,,3.5,15.7,126595075.0,746139449.0,7157605.0,2.88,1.97,3.67,6.9,4.5,9.2,
Region 8: Eastern Visayas,2013,1207249.0,,,4.2,3.2,84580063.0,292195740.0,4299179.0,4.0,2.94,4.94,8.6,6.4,10.6,
Region 9: Zamboanga Peninsula,2013,14734303.0,,,2.8,5.4,64719560.0,253224354.0,3547254.0,9.25,8.12,10.26,11.2,9.0,13.4,
Region 10: Northern Mindanao,2013,-652105.0,,,3.5,10.0,70333157.0,509881162.0,4535025.0,6.15,4.82,7.32,10.2,8.6,11.8,
Region 11: Davao Region,2013,7132362.0,,,3.3,6.1,120503064.0,495294298.0,4723542.0,5.28,4.02,6.4,8.9,7.1,10.8,
Region 12: SOCCSKSARGEN,2013,1452127.0,,,3.0,7.0,51909193.0,324370805.0,3910293.0,5.82,4.62,6.92,8.4,6.3,10.6,
CARAGA: Cordillera Administrative Region,2013,-813155.0,,,2.0,4.8,50823123.0,194874139.0,2530627.0,4.07,2.89,5.13,8.9,7.3,10.4,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,-1626148.0,,,3.1,6.6,17953773.0,165084288.0,4015596.0,14.04,13.17,15.0,15.3,13.9,17.1,
PHILIPPINES,2014,6863551.0,16.8,27.8,100.0,9.1,2763392839.0,13206828252.0,99170955.0,3.26,2.77,3.7,6.9,5.5,8.3,
NCR: National Capital Region,2014,-9498709.0,24.7,3.6,41.5,6.7,1055722012.0,4215201150.0,12664407.0,4.25,3.6,4.86,6.7,5.1,8.2,
CAR: Cordillera Administrative Region,2014,-5031597.0,2.1,11.4,2.0,7.5,24485878.0,237096008.0,1701488.0,2.84,1.71,3.5,6.3,3.8,8.8,
Region 1: Ilocos Region,2014,2641538.0,4.0,12.4,3.9,14.5,88877912.0,430678687.0,4968877.0,1.13,0.93,1.3,4.9,3.7,6.0,
Region 2: Cagayan Valley,2014,3196568.0,2.3,13.9,2.2,9.0,75028145.0,304061090.0,3405024.0,2.61,1.96,3.2,6.2,4.6,7.7,
Region 3: Central Luzon,2014,-7236367.0,10.9,9.9,7.0,10.0,273085629.0,1461916690.0,10990233.0,2.28,1.74,2.77,6.4,4.9,7.8,
Region 4A: CALABARZON,2014,7465112.0,2.9,1.8,7.3,10.5,320280912.0,2006907506.0,14038573.0,1.55,1.22,1.85,5.3,4.2,6.4,
MIMAROPA: Southwestern Tagalog Region,2014,580986.0,1.2,9.9,2.2,6.0,41529678.0,276139956.0,2918660.0,2.78,2.25,3.24,7.1,5.5,8.8,
Region 5: Bicol Region,2014,9615771.0,4.2,9.7,4.1,9.9,98493385.0,366663555.0,5719147.0,2.72,2.16,3.21,7.5,5.4,9.6,
Region 6: Western Visayas,2014,-7722981.0,6.4,7.6,4.3,13.6,77105459.0,615916323.0,7447870.0,1.97,1.54,2.36,5.5,4.0,6.9,
Region 7: Central Visayas,2014,1646648.0,5.9,6.1,3.8,16.0,158426246.0,829547258.0,7271699.0,2.68,1.91,3.36,7.9,5.7,10.1,
Region 8: Eastern Visayas,2014,2233166.0,3.1,7.5,4.1,14.8,105230806.0,305697115.0,4365658.0,2.76,2.17,3.28,10.1,8.3,11.9,
Region 9: Zamboanga Peninsula,2014,6208706.0,2.2,11.0,2.7,8.4,70096692.0,276633110.0,3587546.0,1.22,0.86,1.6,7.9,6.8,9.0,
Region 10: Northern Mindanao,2014,-2773093.0,3.4,10.8,3.6,10.2,90824223.0,569991317.0,4609002.0,3.62,2.87,4.3,6.3,4.7,8.0,
Region 11: Davao Region,2014,-1121475.0,3.7,13.5,3.2,9.0,116373706.0,555456044.0,4804572.0,3.48,2.76,4.11,6.4,5.4,7.3,
Region 12: SOCCSKSARGEN,2014,3036139.0,3.9,10.4,3.0,4.8,56883662.0,352653227.0,3978834.0,1.14,0.64,1.95,4.9,4.4,5.4,
CARAGA: Cordillera Administrative Region,2014,4461069.0,1.7,10.2,2.0,5.5,84487402.0,223865240.0,2562283.0,2.28,1.71,3.56,7.5,6.6,8.4,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,-837931.0,0.8,17.2,3.1,15.4,26461092.0,178403975.0,4137081.0,19.02,18.54,19.53,19.2,18.4,20.3,
PHILIPPINES,2015,-125424625.0,19.3,12.2,100.0,12.0,2975815372.0,13944157448.0,100833371.0,2.69,2.01,3.3,6.6,4.9,8.3,
NCR: National Capital Region,2015,-78887754.0,23.0,7.9,40.6,10.9,1072923782.0,4532443704.0,12859211.0,2.05,1.45,2.61,5.1,3.6,6.5,
CAR: Cordillera Administrative Region,2015,-1869509.0,2.1,9.9,2.0,9.3,29049288.0,243673958.0,1720134.0,1.9,1.36,2.39,6.2,3.2,9.2,
Region 1: Ilocos Region,2015,20010380.0,4.0,9.5,4.0,15.6,113489548.0,449373363.0,5021171.0,1.13,0.83,1.41,6.1,4.4,7.7,
Region 2: Cagayan Valley,2015,-6693576.0,2.4,10.6,2.2,10.3,77480450.0,303113509.0,3447468.0,1.74,0.98,2.42,6.4,4.4,8.3,
Region 3: Central Luzon,2015,14886473.0,10.7,10.9,7.0,12.0,351251636.0,1511232438.0,11199069.0,1.45,0.93,1.93,7.0,5.4,8.5,
Region 4A: CALABARZON,2015,-89593345.0,2.6,23.6,7.4,13.4,303867486.0,2076801161.0,14387196.0,1.76,1.54,2.21,4.7,3.5,5.9,
MIMAROPA: Southwestern Tagalog Region,2015,-5855580.0,1.2,10.2,2.2,11.4,36665567.0,274605684.0,2959491.0,1.66,0.89,2.35,6.2,4.3,8.0,
Region 5: Bicol Region,2015,-4034708.0,4.1,10.0,4.2,8.0,104978578.0,395256951.0,5790307.0,2.54,1.92,3.09,8.3,5.9,10.7,
Region 6: Western Visayas,2015,-15516499.0,6.2,11.2,4.5,14.6,95430431.0,667996261.0,7528646.0,1.76,1.02,2.4,6.8,4.8,8.7,
Region 7: Central Visayas,2015,17167841.0,5.6,9.7,4.0,15.7,158168742.0,889023020.0,7386344.0,1.85,1.07,2.89,6.1,4.3,7.9,
Region 8: Eastern Visayas,2015,16425053.0,3.0,13.8,4.3,15.6,131806587.0,324929357.0,4434152.0,2.01,1.22,2.7,8.3,6.0,10.5,
Region 9: Zamboanga Peninsula,2015,11937143.0,2.2,10.2,2.7,9.7,97615263.0,300939935.0,3625830.0,3.73,2.87,4.49,7.4,5.3,9.5,
Region 10: Northern Mindanao,2015,2077925.0,3.4,7.2,3.7,11.3,109130053.0,609017243.0,4682374.0,3.0,1.99,3.9,8.0,6.1,10.0,
Region 11: Davao Region,2015,5651865.0,3.7,6.1,3.2,14.9,127020224.0,602911849.0,4885808.0,1.9,0.99,2.72,7.2,5.4,8.9,
Region 12: SOCCSKSARGEN,2015,-2483260.0,3.9,5.6,2.9,11.7,57452641.0,354753546.0,4046956.0,3.15,2.37,3.87,8.2,6.9,9.5,
CARAGA: Cordillera Administrative Region,2015,-2583334.0,1.7,10.6,1.9,9.2,90681727.0,235177755.0,2593738.0,2.84,2.14,3.47,8.3,7.0,9.7,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,-6063739.0,0.9,2.8,3.3,14.2,18803370.0,172907713.0,4265476.0,17.17,16.04,18.33,9.6,8.9,10.4,
PHILIPPINES,2016,-58265758.0,19.7,16.7,100.0,10.0,3725365802.0,15132381470.0,102530196.0,,,,,,,
NCR: National Capital Region,2016,-61168427.0,22.5,7.2,40.2,9.0,1268840988.0,4928222539.0,13066832.0,,,,,,,
CAR: Cordillera Administrative Region,2016,2845014.0,2.1,11.0,1.9,10.2,32105379.0,255584787.0,1739380.0,,,,,,,
Region 1: Ilocos Region,2016,161771.0,4.0,10.2,4.2,10.5,131580148.0,490900560.0,5076184.0,,,,,,,
Region 2: Cagayan Valley,2016,833107.0,2.4,5.0,2.2,10.1,95196604.0,323458416.0,3493662.0,,,,,,,
Region 3: Central Luzon,2016,8706663.0,10.8,7.6,7.0,10.9,421665953.0,1640708336.0,11437442.0,,,,,,,
Region 4A: CALABARZON,2016,-7623979.0,2.9,4.3,7.5,11.0,517220942.0,2206254090.0,14741686.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2016,-10614285.0,1.2,22.6,2.2,10.8,36490353.0,287300274.0,3006430.0,,,,,,,
Region 5: Bicol Region,2016,8943283.0,4.1,5.7,4.0,10.1,134334431.0,431762419.0,5865520.0,,,,,,,
Region 6: Western Visayas,2016,3271575.0,6.3,9.1,4.6,10.4,119446427.0,720566797.0,7610389.0,,,,,,,
Region 7: Central Visayas,2016,3895526.0,5.6,11.8,4.1,11.3,216329082.0,977480106.0,7511565.0,,,,,,,
Region 8: Eastern Visayas,2016,-6192257.0,3.1,4.1,4.4,10.5,164434444.0,376587299.0,4495990.0,,,,,,,
Region 9: Zamboanga Peninsula,2016,-6384262.0,2.2,4.1,2.7,11.2,97392497.0,322282583.0,3660328.0,,,,,,,
Region 10: Northern Mindanao,2016,7337077.0,3.3,9.6,3.6,10.4,144180307.0,679435851.0,4755673.0,,,,,,,
Region 11: Davao Region,2016,12028030.0,3.6,6.9,3.3,12.1,152803010.0,674076172.0,4967320.0,,,,,,,
Region 12: SOCCSKSARGEN,2016,-10154873.0,3.7,6.1,2.8,10.9,65126975.0,381711706.0,4120287.0,,,,,,,
CARAGA: Cordillera Administrative Region,2016,-1508303.0,1.7,8.6,1.9,11.4,100128554.0,251476878.0,2627491.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2016,-2641420.0,0.8,6.4,3.3,9.9,28089708.0,184572658.0,4354017.0,,,,,,,
PHILIPPINES,2017,-15471546.0,21.2,4.9,100.0,17.3,4231677010.0,16556651083.0,104169230.0,,,,,,,
NCR: National Capital Region,2017,-3527878.0,22.3,11.2,39.8,17.3,1391592148.0,5327124065.0,13264805.0,,,,,,,
CAR: Cordillera Administrative Region,2017,-1400306.0,2.1,10.4,1.9,17.1,35881923.0,280805810.0,1757717.0,,,,,,,
Region 1: Ilocos Region,2017,1990840.0,4.1,9.8,4.2,17.1,163128777.0,527801491.0,5128542.0,,,,,,,
Region 2: Cagayan Valley,2017,-1813875.0,2.3,11.7,2.2,18.3,113995195.0,358686602.0,3537703.0,,,,,,,
Region 3: Central Luzon,2017,-2730350.0,10.7,13.0,7.1,17.9,513606387.0,1860323671.0,11667642.0,,,,,,,
Region 4A: CALABARZON,2017,4054462.0,2.8,46.1,7.5,18.3,630500072.0,2423069480.0,15085285.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2017,-5470926.0,1.4,-63.0,2.2,17.4,55532730.0,321948705.0,3051342.0,,,,,,,
Region 5: Bicol Region,2017,2236237.0,4.0,11.8,4.0,12.9,142545107.0,465966050.0,5937321.0,,,,,,,
Region 6: Western Visayas,2017,-2277977.0,6.3,11.7,4.6,23.4,132134843.0,791281769.0,7688734.0,,,,,,,
Region 7: Central Visayas,2017,-1260411.0,5.7,13.7,4.2,19.7,220634348.0,1067272679.0,7631003.0,,,,,,,
Region 8: Eastern Visayas,2017,-7210397.0,3.0,7.2,4.4,8.2,146448787.0,397386688.0,4557614.0,,,,,,,
Region 9: Zamboanga Peninsula,2017,1193982.0,2.1,12.9,2.7,19.8,103191607.0,344667607.0,3693191.0,,,,,,,
Region 10: Northern Mindanao,2017,2757062.0,3.3,5.5,3.6,15.8,148099836.0,737898187.0,4825658.0,,,,,,,
Region 11: Davao Region,2017,1444163.0,3.6,12.2,3.4,22.8,200147009.0,748538551.0,5048419.0,,,,,,,
Region 12: SOCCSKSARGEN,2017,218198.0,3.6,14.9,2.9,13.3,84449083.0,420127877.0,4190004.0,,,,,,,
CARAGA: Cordillera Administrative Region,2017,-5406063.0,1.7,-1.0,1.9,18.1,115687853.0,273088164.0,2660236.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2017,1731693.0,0.8,48.5,3.3,17.5,34101305.0,210663685.0,4444014.0,,,,,,,
PHILIPPINES,2018,-26943785.0,20.0,2.5,100.0,10.6,4959105466.0,18265190258.0,105755180.0,,,,,,,100.0
NCR: National Capital Region,2018,-8952050.0,22.3,13.7,39.8,11.3,1640251453.0,5814440130.0,13453701.0,,,,,,,
CAR: Cordillera Administrative Region,2018,-12287003.0,2.1,14.9,1.9,7.6,32266092.0,308267122.0,1775210.0,,,,,,,100.0
Region 1: Ilocos Region,2018,-344781.0,4.0,7.7,4.2,8.0,193759545.0,587597251.0,5178410.0,,,,,,,100.0
Region 2: Cagayan Valley,2018,-1033799.0,2.3,13.7,2.2,8.6,134311405.0,385061271.0,3579715.0,,,,,,,100.0
Region 3: Central Luzon,2018,5584131.0,10.9,11.4,7.1,10.3,590017254.0,2062393875.0,11890314.0,,,,,,,100.0
Region 4A: CALABARZON,2018,8412077.0,3.7,-4.1,7.6,10.5,712401187.0,2706994745.0,15418944.0,,,,,,,100.0
MIMAROPA: Southwestern Tagalog Region,2018,813229.0,0.5,163.8,2.2,4.9,78995250.0,370744808.0,3094357.0,,,,,,,100.0
Region 5: Bicol Region,2018,-487965.0,4.0,13.7,3.9,14.4,181534196.0,522014835.0,6005949.0,,,,,,,100.0
Region 6: Western Visayas,2018,-3692731.0,6.4,3.3,4.8,9.0,155804331.0,860107768.0,7763898.0,,,,,,,100.0
Region 7: Central Visayas,2018,-2452424.0,5.9,11.7,4.3,9.7,257710115.0,1180945761.0,7745017.0,,,,,,,100.0
Region 8: Eastern Visayas,2018,-9594820.0,2.9,16.2,4.1,8.5,181598780.0,444384029.0,4619183.0,,,,,,,100.0
Region 9: Zamboanga Peninsula,2018,-1414695.0,2.1,17.5,2.7,7.6,111476636.0,379428020.0,3724550.0,,,,,,,100.0
Region 10: Northern Mindanao,2018,1532626.0,3.2,18.0,3.6,20.3,172667000.0,821122015.0,4892512.0,,,,,,,100.0
Region 11: Davao Region,2018,-205906.0,3.6,15.5,3.5,10.6,240582476.0,841429225.0,5129342.0,,,,,,,100.0
Region 12: SOCCSKSARGEN,2018,-1259801.0,3.7,0.0,2.8,6.5,100721169.0,454304549.0,4256317.0,,,,,,,100.0
CARAGA: Cordillera Administrative Region,2018,-1475698.0,1.5,18.9,1.9,12.4,132342879.0,290561794.0,2692072.0,,,,,,,100.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2018,-84176.0,1.0,14.0,3.3,9.8,42665699.0,235393060.0,4535689.0,,,,,,,100.0
PHILIPPINES,2019,-148526300.0,18.6,41.8,100.0,12.6,5153068851.0,19517863172.0,107288150.0,,,,,,,94.375
NCR: National Capital Region,2019,-170725161.0,23.0,-15.1,40.0,13.6,1598461505.0,6294194685.0,13633497.0,,,,,,,
CAR: Cordillera Administrative Region,2019,-21374032.0,2.2,10.4,1.9,9.2,23666821.0,322106088.0,1791881.0,,,,,,,85.475
Region 1: Ilocos Region,2019,3195818.0,3.9,26.1,4.1,9.6,228616710.0,630300658.0,5225800.0,,,,,,,89.775
Region 2: Cagayan Valley,2019,4908941.0,2.4,23.6,2.2,10.8,146410694.0,399370781.0,3619689.0,,,,,,,88.8
Region 3: Central Luzon,2019,-34811984.0,11.0,12.3,7.1,11.2,610978504.0,2184815143.0,12105494.0,,,,,,,88.6
Region 4A: CALABARZON,2019,98541144.0,3.2,-18.8,7.6,12.1,766853055.0,2865792547.0,15742673.0,,,,,,,100.225
MIMAROPA: Southwestern Tagalog Region,2019,14079039.0,1.1,-11.5,2.1,11.6,88406153.0,375589553.0,3135503.0,,,,,,,87.15
Region 5: Bicol Region,2019,-1902098.0,4.1,16.8,4.0,11.0,202053823.0,560835429.0,6071398.0,,,,,,,91.05
Region 6: Western Visayas,2019,3767878.0,6.0,23.9,4.8,10.1,176527730.0,919163055.0,7835883.0,,,,,,,99.25
Region 7: Central Visayas,2019,1950007.0,5.9,7.3,4.2,12.7,303559170.0,1270612311.0,7853606.0,,,,,,,91.175
Region 8: Eastern Visayas,2019,7516530.0,3.0,3.0,4.0,11.5,196623541.0,455533643.0,4680701.0,,,,,,,94.175
Region 9: Zamboanga Peninsula,2019,-3490358.0,2.2,21.6,2.7,14.6,110388664.0,399109397.0,3754387.0,,,,,,,94.225
Region 10: Northern Mindanao,2019,10024531.0,3.4,11.8,3.9,15.1,192933853.0,885223985.0,4956259.0,,,,,,,97.475
Region 11: Davao Region,2019,-28611108.0,3.8,17.2,3.5,13.9,266581670.0,922613763.0,5210081.0,,,,,,,95.55
Region 12: SOCCSKSARGEN,2019,-8912174.0,3.4,18.8,2.7,12.1,87197719.0,474892618.0,4319226.0,,,,,,,96.425
CARAGA: Cordillera Administrative Region,2019,-24356137.0,1.6,17.0,1.9,11.5,105200111.0,302930146.0,2723012.0,,,,,,,94.1
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2019,1672864.0,1.1,70.4,3.3,13.4,48609129.0,254779370.0,4629060.0,,,,,,,98.6
PHILIPPINES,2020,-695464321.0,23.4,,100.0,10.3,3129565862.0,17951573570.0,108771978.0,,,,,,,95.05
NCR: National Capital Region,2020,-261889025.0,17.3,,40.4,10.9,960095438.0,5800819179.0,13804656.0,,,,,,,
CAR: Cordillera Administrative Region,2020,-9164951.0,2.1,,1.8,8.6,31273604.0,295502542.0,1807738.0,,,,,,,64.35
Region 1: Ilocos Region,2020,-12806475.0,4.4,,4.0,8.5,172416085.0,597917300.0,5270807.0,,,,,,,79.375
Region 2: Cagayan Valley,2020,-14374477.0,2.6,,2.1,15.0,95318052.0,367331248.0,3657741.0,,,,,,,76.1
Region 3: Central Luzon,2020,-162144251.0,11.0,,7.0,12.1,283879955.0,1864111182.0,12313718.0,,,,,,,79.125
Region 4A: CALABARZON,2020,-152583773.0,2.3,,7.6,8.3,298782200.0,2565120461.0,16057299.0,,,,,,,102.875
MIMAROPA: Southwestern Tagalog Region,2020,-17843634.0,0.9,,2.1,10.2,45361975.0,342643478.0,3174859.0,,,,,,,67.975
Region 5: Bicol Region,2020,-6441298.0,4.3,,3.9,9.4,153689482.0,516847516.0,6133836.0,,,,,,,79.6
Region 6: Western Visayas,2020,5302810.0,6.6,,4.7,9.1,133826656.0,850797186.0,7904899.0,,,,,,,97.55
Region 7: Central Visayas,2020,-7527662.0,5.7,,4.2,9.6,196171280.0,1170115820.0,7957046.0,,,,,,,82.0
Region 8: Eastern Visayas,2020,3934068.0,2.8,,4.0,9.1,126141784.0,414265871.0,4742337.0,,,,,,,76.55
Region 9: Zamboanga Peninsula,2020,-3551724.0,2.4,,2.7,7.3,94073493.0,394821669.0,3782761.0,,,,,,,84.625
