Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2000,,91.28,96.5,86.19,23.5,24.59,22.39,,,,,,,,,,,,24.3,24.35,24.26,58.35,58.65,57.98,,,,,,,,,,,,,3292879.0,,,1.8,7.1,8973944.0,45671649.0,3064720.0,,,,,,,
PHILIPPINES,2001,,90.1,90.91,89.33,57.55,62.24,52.96,,,,,,,,,,,,68.18,70.7,65.78,69.97,72.94,66.72,,,,,,1.0079144176033026,,,,,,,24650494.0,,,100.0,3.4,762429457.0,4024398940.0,78273584.0,,,,,,,
NCR: National Capital Region,2001,,97.82,99.13,96.57,67.84,73.86,61.7,,,,,,,,,,,,74.29,75.66,73.0,68.43,71.91,64.57,,,,,,0.8411278169115946,,,,,,,32407610.0,,,47.0,-1.7,288023206.0,1349240704.0,10153254.0,,,,,,,
CAR: Cordillera Administrative Region,2001,,92.89,93.88,91.96,59.84,65.8,54.08,,,,,,,,,,,,59.55,63.85,55.6,61.75,64.15,59.07,,,,,,1.9008376014278523,,,,,,,-3465763.0,,,2.7,4.5,13448285.0,95301368.0,1397362.0,,,,,,,
Region 1: Ilocos Region,2001,,91.33,91.23,91.44,68.21,71.73,64.83,,,,,,,,,,,,79.7,82.37,77.27,75.35,79.1,71.58,,,,,,0.8115887464970655,,,,,,,-415859.0,,,3.8,6.6,26821755.0,137048662.0,4265007.0,,,,,,,
Region 2: Cagayan Valley,2001,,89.45,89.94,88.99,59.67,65.09,54.5,,,,,,,,,,,,74.07,78.37,70.13,69.4,71.88,66.8,,,,,,2.1479534913057847,,,,,,,6710711.0,,,2.4,11.5,34873457.0,93104321.0,2860861.0,,,,,,,
Region 3: Central Luzon,2001,,86.35,86.5,86.21,66.82,71.02,62.76,,,,,,,,,,,,74.63,78.39,71.29,70.72,74.61,66.74,,,,,,3.6001917056948542,,,,,,,-26135881.0,,,4.1,21.1,35506256.0,406500228.0,8420004.0,,,,,,,
Region 4A: CALABARZON,2001,,93.44,93.93,92.96,66.24,70.46,62.13,,,,,,,,,,,,80.87,83.74,78.18,76.79,79.64,73.69,,,,,,-1.68399788512221,,,,,,,-28830457.0,,,4.5,15.0,76941117.0,671228264.0,9687547.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6640222746159736,,,,,,,2492120.0,,,2.0,7.8,11200127.0,71908260.0,2352183.0,,,,,,,
Region 5: Bicol Region,2001,,91.77,92.77,90.83,55.56,59.8,51.54,,,,,,,,,,,,70.17,74.13,66.51,67.92,72.05,63.5,,,,,,1.5879193697141003,,,,,,,6003300.0,,,3.5,3.1,23889005.0,105014935.0,4772451.0,,,,,,,
