Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 12: SOCCSKSARGEN,2003,,81.18,82.61,79.8,53.86,59.45,48.37,,,,,,,,,,51.6,90.0,63.36,69.69,57.71,66.24,71.63,60.69,,,,,,3.9244741146200255,,,,,,,-7479618.0,,,3.9,0.8,14305623.0,120147954.0,3201234.0,,,,,,,
CARAGA: CARAGA Administrative Region,2003,,78.04,78.23,77.85,49.72,55.41,44.21,,,,,,,,,,43.7,85.0,66.93,73.64,61.17,64.0,68.53,59.25,,,,,,3.1087996908246254,,,,,,,-11767663.0,,,2.4,10.8,3017840.0,68343455.0,2202744.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2003,,90.13,94.34,85.92,29.37,32.58,26.11,,,,,,,,,,23.1,51.0,27.95,29.21,26.6,62.33,56.66,69.53,,,,,,3.3082727600076964,,,,,,,-1143417.0,,,2.0,2.7,7121133.0,57745738.0,3180302.0,,,,,,,
PHILIPPINES,2004,,87.11,88.08,86.17,59.97,65.01,55.04,,,,,,,,,,,,69.06,75.2,63.63,72.38,77.8,66.87,,,,,,4.541527176741056,,,,,,,115195365.0,,,100.0,7.8,1103698971.0,5323904177.0,82977428.0,,,,,,,
NCR: National Capital Region,2004,,94.82,95.95,93.75,76.4,79.06,73.67,,,,,,,,,,,,82.1,85.51,78.97,77.33,83.25,71.46,,,,,,6.355850767629391,,,,,,,90746761.0,,,45.1,5.8,445396815.0,1743576537.0,10729137.0,,,,,,,
CAR: Cordillera Administrative Region,2004,,86.4,87.31,85.52,60.71,67.77,53.87,,,,,,,,,,,,69.46,77.39,62.65,72.54,80.76,64.25,,,,,,3.4879768619455263,,,,,,,5942522.0,,,2.5,14.3,24257807.0,126064714.0,1477718.0,,,,,,,
Region 1: Ilocos Region,2004,,86.98,87.01,86.96,66.96,71.29,62.8,,,,,,,,,,,,85.49,89.37,82.01,77.81,84.63,71.23,,,,,,3.8896628892332927,,,,,,,11013024.0,,,3.9,11.9,45222018.0,178137944.0,4431377.0,,,,,,,
Region 2: Cagayan Valley,2004,,82.9,83.35,82.47,60.64,66.71,54.86,,,,,,,,,,,,75.5,82.09,69.78,73.01,78.18,67.71,,,,,,7.426633218736271,,,,,,,14501407.0,,,2.7,5.7,51068600.0,117674721.0,2985160.0,,,,,,,
Region 3: Central Luzon,2004,,92.03,92.31,91.76,69.81,74.31,65.45,,,,,,,,,,,,78.48,82.84,74.6,76.57,82.4,70.78,,,,,,0.9627470829942696,,,,,,,-18880906.0,,,5.7,3.8,68231368.0,548718978.0,8989170.0,,,,,,,
Region 4A: CALABARZON,2004,,95.1,95.63,94.6,70.94,75.33,66.65,,,,,,,,,,,,77.96,83.1,73.39,74.93,80.65,69.25,,,,,,2.276289065259121,,,,,,,-7379076.0,,,5.1,19.4,117422285.0,881529587.0,10661585.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2004,,88.0,88.94,87.1,57.8,63.63,52.17,,,,,,,,,,,,68.81,75.84,62.65,71.2,76.3,65.9,,,,,,1.8306382829376984,,,,,,,-2997026.0,,,1.8,25.2,9464169.0,103521732.0,2488772.0,,,,,,,
Region 5: Bicol Region,2004,,87.78,88.9,86.71,55.82,62.36,49.62,,,,,,,,,,,,74.32,80.78,68.56,70.55,75.63,65.32,,,,,,3.9375215665899503,,,,,,,2225757.0,,,3.2,18.4,28387601.0,135875452.0,4994449.0,,,,,,,
Region 6: Western Visayas,2004,,80.49,81.13,79.88,56.96,63.01,51.07,,,,,,,,,,,,67.44,75.98,60.18,72.82,80.02,65.62,,,,,,6.157605783316782,,,,,,,6233671.0,,,4.8,9.5,48709503.0,244363281.0,6591799.0,,,,,,,
Region 7: Central Visayas,2004,,83.53,84.2,82.88,57.4,62.86,52.03,,,,,,,,,,,,70.99,80.2,63.02,70.55,75.77,65.24,,,,,,4.914365278504434,,,,,,,14804151.0,,,3.2,0.6,76422804.0,286487926.0,6154912.0,,,,,,,
Region 8: Eastern Visayas,2004,,83.44,85.44,81.53,50.64,57.48,44.16,,,,,,,,,,,,68.99,77.8,61.33,71.67,76.28,66.8,,,,,,4.408115626213487,,,,,,,-19334525.0,,,4.6,0.3,18965733.0,147430426.0,3791309.0,,,,,,,
Region 9: Zamboanga Peninsula,2004,,82.83,83.74,81.94,50.47,55.83,45.13,,,,,,,,,,,,54.02,62.26,47.05,66.29,71.63,60.61,,,,,,2.447019110001108,,,,,,,4012508.0,,,3.2,14.6,25632443.0,96967352.0,3093932.0,,,,,,,
Region 10: Northern Mindanao,2004,,84.16,84.95,83.39,52.08,57.62,46.66,,,,,,,,,,,,58.06,65.31,51.82,61.21,67.08,55.21,,,,,,6.038860137285965,,,,,,,14742998.0,,,2.7,16.5,46562387.0,204146137.0,3841588.0,,,,,,,
Region 11: Davao Region,2004,,82.54,83.97,81.17,51.16,56.28,46.1,,,,,,,,,,,,62.47,71.07,55.11,68.81,73.35,64.01,,,,,,4.306681280959239,,,,,,,10215524.0,,,3.3,15.9,54960082.0,221493390.0,4003049.0,,,,,,,
Region 12: SOCCSKSARGEN,2004,,79.99,81.7,78.34,55.24,61.04,49.55,,,,,,,,,,,,60.58,68.05,53.99,76.91,82.67,70.97,,,,,,3.350673255897348,,,,,,,-3010553.0,,,3.8,0.6,21311622.0,139197728.0,3274168.0,,,,,,,
CARAGA: CARAGA Administrative Region,2004,,75.08,75.56,74.61,49.66,55.62,43.87,,,,,,,,,,,,59.32,68.11,52.0,71.9,76.28,67.33,,,,,,4.253532641672521,,,,,,,-12195146.0,,,2.5,1.4,6226540.0,77441587.0,2236502.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2004,,90.01,94.19,85.84,28.43,31.1,25.73,,,,,,,,,,,,31.33,33.35,29.22,45.29,44.01,46.82,,,,,,6.299145532375277,,,,,,,4554275.0,,,2.0,-1.0,15457196.0,71276682.0,3232800.0,,,,,,,
PHILIPPINES,2005,,84.44,85.35,83.56,58.54,63.53,53.65,,,,,,,,,,,,68.11,73.46,63.29,61.66,68.14,55.06,,,,,,2.9785515939991143,,,,,,,20573012.0,,,100.0,13.2,1098633998.0,5917282301.0,84559930.0,,,,,,,
NCR: National Capital Region,2005,,92.61,93.63,91.65,74.99,77.28,72.65,,,,,,,,,,,,82.5,85.01,80.18,65.87,69.86,61.81,,,,,,3.310895022436384,,,,,,,-21121052.0,,,44.3,9.1,364638998.0,1954778997.0,10921427.0,,,,,,,
CAR: Cordillera Administrative Region,2005,,82.58,83.46,81.75,57.81,64.89,50.96,,,,,,,,,,,,67.53,73.23,62.42,63.2,71.43,54.59,,,,,,0.0567396973274441,,,,,,,922235.0,,,2.6,6.1,20432006.0,133005766.0,1503126.0,,,,,,,
Region 1: Ilocos Region,2005,,84.87,84.95,84.8,65.83,69.64,62.16,,,,,,,,,,,,85.48,90.13,81.33,72.09,78.44,65.87,,,,,,3.3625987915048228,,,,,,,2156933.0,,,4.0,29.2,39338515.0,198599341.0,4486265.0,,,,,,,
Region 2: Cagayan Valley,2005,,79.92,80.34,79.52,59.02,64.95,53.38,,,,,,,,,,,,76.4,82.87,70.72,68.82,74.58,62.86,,,,,,-3.2389556993871054,,,,,,,21591202.0,,,2.6,17.5,58370199.0,121542578.0,3026730.0,,,,,,,
Region 3: Central Luzon,2005,,90.77,91.17,90.38,68.93,73.22,64.77,,,,,,,,,,,,80.16,84.91,75.96,70.26,76.91,63.65,,,,,,1.7253195748094328,,,,,,,-4770170.0,,,5.5,20.2,92419886.0,610192972.0,9181933.0,,,,,,,
Region 4A: CALABARZON,2005,,92.87,93.55,92.22,69.1,73.53,64.77,,,,,,,,,,,,76.98,82.26,72.27,68.42,75.75,61.22,,,,,,2.1384326101953945,,,,,,,30758718.0,,,5.6,14.1,173261985.0,987614867.0,10990009.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2005,,84.39,85.28,83.55,56.08,61.38,50.96,,,,,,,,,,,,67.17,73.76,61.35,52.76,58.75,46.6,,,,,,7.306973440180343,,,,,,,1792345.0,,,2.1,18.0,15527012.0,121806090.0,2533484.0,,,,,,,
Region 5: Bicol Region,2005,,85.43,86.62,84.3,53.24,59.88,46.95,,,,,,,,,,,,71.69,78.18,65.93,54.25,61.3,46.95,,,,,,3.944177715157622,,,,,,,3413493.0,,,3.5,20.9,30110212.0,148022711.0,5067918.0,,,,,,,
Region 6: Western Visayas,2005,,77.14,77.77,76.53,54.91,60.99,49.0,,,,,,,,,,,,66.3,74.38,59.35,61.21,69.35,53.02,,,,,,3.638961485803847,,,,,,,1445825.0,,,4.8,18.6,44867130.0,270572999.0,6681274.0,,,,,,,
Region 7: Central Visayas,2005,,80.08,80.81,79.37,54.76,60.69,48.94,,,,,,,,,,,,69.3,77.39,62.09,53.43,62.58,44.33,,,,,,5.183705440373743,,,,,,,2064083.0,,,3.0,17.7,64122060.0,321657954.0,6264053.0,,,,,,,
Region 8: Eastern Visayas,2005,,80.03,81.93,78.22,50.09,56.74,43.79,,,,,,,,,,,,58.44,65.11,52.54,54.1,59.36,48.52,,,,,,4.480726282199839,,,,,,,-13005839.0,,,4.3,8.4,33122898.0,164052811.0,3839638.0,,,,,,,
Region 9: Zamboanga Peninsula,2005,,79.14,80.0,78.3,47.17,52.2,42.16,,,,,,,,,,,,53.8,60.7,47.82,46.82,52.36,40.95,,,,,,5.467405200963853,,,,,,,4543260.0,,,3.5,13.8,25807637.0,110091946.0,3152309.0,,,,,,,
Region 10: Northern Mindanao,2005,,80.2,81.08,79.36,51.27,56.87,45.78,,,,,,,,,,,,59.73,66.53,53.76,57.23,63.02,51.09,,,,,,3.281551352598825,,,,,,,13843338.0,,,2.9,18.0,47028216.0,224201372.0,3921010.0,,,,,,,
Region 11: Davao Region,2005,,79.01,80.35,77.71,49.02,54.48,43.64,,,,,,,,,,,,56.59,63.19,50.83,51.38,59.06,43.53,,,,,,2.158022366361763,,,,,,,-8433806.0,,,3.5,11.5,41714462.0,240651281.0,4082235.0,,,,,,,
Region 12: SOCCSKSARGEN,2005,,77.43,79.15,75.77,51.33,56.69,46.06,,,,,,,,,,,,58.0,64.93,51.82,48.87,54.59,43.02,,,,,,-0.2142530170448537,,,,,,,-3658552.0,,,3.5,10.4,22874351.0,146556546.0,3346482.0,,,,,,,
CARAGA: CARAGA Administrative Region,2005,,74.8,75.12,74.49,48.52,53.91,43.29,,,,,,,,,,,,67.07,74.62,60.55,58.02,63.23,52.5,,,,,,2.932371991801702,,,,,,,-12928080.0,,,2.4,16.2,8967658.0,84420023.0,2269967.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2005,,87.26,89.9,84.63,35.61,39.49,31.69,,,,,,,,,,,,34.76,34.56,34.85,53.0,54.81,50.93,,,,,,3.591165366535336,,,,,,,1959079.0,,,1.8,22.7,16030773.0,79514046.0,3292071.0,,,,,,,
PHILIPPINES,2006,,83.22,84.08,82.39,58.59,63.44,53.85,,,,,4.2,2.4,1.0,0.4,0.3,,,71.72,76.7,67.28,72.14,76.96,67.17,,,,,,3.372089075537985,,,,,,,-178148844.0,,,100.0,11.9,1049071426.0,6550417113.0,86150420.0,6.37,5.0,7.64,8.5,6.7,10.4,
NCR: National Capital Region,2006,,92.89,93.83,92.0,75.12,77.3,72.89,,,,,5.1,3.1,1.2,0.5,0.3,,,88.48,91.3,85.77,71.62,74.0,66.62,,,,,,3.8099508528209194,,,,,,,-62074630.0,,,42.7,12.5,350945836.0,2176864045.0,11113967.0,2.37,1.46,2.98,7.4,6.8,8.8,
CAR: Cordillera Administrative Region,2006,,80.86,81.57,80.19,59.1,65.67,52.74,,,,,3.3,1.9,1.0,0.3,0.2,,,74.99,80.98,69.72,83.69,89.65,77.44,,,,,,2.068304836073878,,,,,,,1539829.0,,,2.4,3.3,25385665.0,145857673.0,1527858.0,5.67,4.23,6.96,4.2,2.6,5.8,
Region 1: Ilocos Region,2006,,82.74,82.58,82.89,68.19,72.1,64.43,,,,,4.9,2.8,1.2,0.4,0.5,,,81.64,84.86,78.76,84.19,88.44,80.01,,,,,,4.594092497093172,,,,,,,-12615425.0,,,4.6,2.3,32127165.0,218353822.0,4540893.0,3.93,3.15,4.64,4.1,4.1,5.2,
Region 2: Cagayan Valley,2006,,77.7,78.03,77.39,58.85,64.42,53.55,,,,,4.0,2.4,0.9,0.2,0.5,,,78.49,84.76,73.06,77.19,81.34,72.86,,,,,,8.370661785283744,,,,,,,19634112.0,,,2.7,11.2,68595346.0,139253836.0,3068387.0,4.72,3.21,6.09,7.1,5.7,8.6,
Region 3: Central Luzon,2006,,89.14,89.47,88.82,69.13,72.99,65.4,,,,,4.8,2.6,1.2,0.5,0.5,,,82.16,86.22,78.55,74.57,79.55,69.6,,,,,,2.5389843449357983,,,,,,,-23168248.0,,,5.8,21.3,84806309.0,668848239.0,9376303.0,3.69,2.74,4.56,7.3,5.5,9.1,
Region 4A: CALABARZON,2006,,92.36,92.95,91.8,71.26,75.61,67.0,,,,,4.7,2.7,1.0,0.6,0.4,,,81.83,86.13,77.99,80.09,86.24,73.9,,,,,,1.4909276365125237,,,,,,,-40148922.0,,,5.7,38.8,120393803.0,1093698856.0,11320451.0,3.9,2.88,4.85,5.3,3.4,7.3,
MIMAROPA: Southwestern Tagalog Region,2006,,83.84,84.75,82.98,58.86,64.8,53.11,,,,,3.5,1.9,0.8,0.3,0.4,,,70.04,76.1,64.69,73.22,78.83,67.47,,,,,,2.0909198730071097,,,,,,,-6738316.0,,,2.2,21.4,10027999.0,131197013.0,2577808.0,6.7,5.18,8.09,9.1,6.7,11.7,
Region 5: Bicol Region,2006,,83.8,84.84,82.82,54.33,60.77,48.22,,,,,,3.0,0.7,0.4,0.4,,,73.04,78.46,68.2,70.32,76.04,64.24,,,,,,1.913256144528248,,,,,,,1929194.0,,,3.8,20.4,31513023.0,158101543.0,5141157.0,6.06,4.78,7.21,9.2,6.9,11.6,
Region 6: Western Visayas,2006,,74.96,75.49,74.45,52.89,58.85,47.08,,,,,,2.3,1.1,0.4,0.4,,,70.62,78.15,64.14,70.0,76.96,62.87,,,,,,4.102687650782812,,,,,,,-6533844.0,,,5.1,4.1,52570827.0,299925476.0,6769880.0,6.38,4.61,7.96,8.9,6.2,11.5,
Region 7: Central Visayas,2006,,78.87,79.48,78.28,53.86,59.56,48.26,,,,,4.3,2.4,1.2,0.5,0.3,,,77.85,84.2,72.13,70.27,76.31,63.93,,,,,,2.866216678475709,,,,,,,-22029093.0,,,3.1,6.3,52741677.0,354599746.0,6373743.0,5.0,3.56,6.27,10.4,8.1,12.8,
Region 8: Eastern Visayas,2006,,78.15,79.9,76.48,49.88,56.68,43.43,,,,,3.5,2.1,0.7,0.4,0.3,,,65.39,71.1,60.14,69.02,72.75,65.03,,,,,,5.382048407335603,,,,,,,-14453592.0,,,4.1,0.9,35549864.0,183249360.0,3889981.0,8.03,6.11,9.82,10.2,8.8,11.7,
Region 9: Zamboanga Peninsula,2006,,77.59,78.42,76.78,47.7,52.67,42.74,,,,,3.0,1.8,0.7,0.3,0.2,,,58.6,65.84,52.38,70.95,73.74,67.88,,,,,,1.9831574834632733,,,,,,,6236741.0,,,3.5,3.0,32077060.0,124161636.0,3208677.0,10.4,8.2,12.45,9.5,8.3,10.7,
Region 10: Northern Mindanao,2006,,78.96,79.96,78.01,51.23,56.72,45.85,,,,,3.5,1.9,0.9,0.4,0.2,,,65.87,72.11,60.43,66.38,71.56,60.85,,,,,,4.663455769090149,,,,,,,13399986.0,,,3.1,9.0,51278595.0,248747368.0,3999827.0,8.07,6.33,9.66,10.7,8.8,12.7,
Region 11: Davao Region,2006,,75.89,77.04,74.79,47.84,52.9,42.84,,,,,3.6,2.1,0.9,0.4,0.2,,,57.22,63.12,52.06,64.75,69.0,60.14,,,,,,2.6781661767286096,,,,,,,-17199083.0,,,3.5,1.8,44995751.0,260394849.0,4161626.0,10.49,8.67,12.17,12.1,10.5,13.8,
Region 12: SOCCSKSARGEN,2006,,76.35,77.82,74.93,48.85,53.96,43.84,,,,,3.0,1.7,0.7,0.3,0.3,,,62.07,67.68,56.94,55.93,58.99,52.7,,,,,,4.09643438012705,,,,,,,-7410550.0,,,3.4,4.9,22344500.0,162095898.0,3418378.0,8.87,7.37,10.3,10.4,8.9,12.1,
CARAGA: CARAGA Administrative Region,2006,,77.76,77.55,77.96,48.89,54.3,43.64,,,,,3.4,2.1,0.7,0.4,0.3,,,64.23,71.17,58.28,69.92,74.48,65.07,,,,,,5.023460617428583,,,,,,,-10577337.0,,,2.4,1.2,15474356.0,95817471.0,2303231.0,8.53,6.62,10.27,10.0,8.3,11.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2006,,85.82,89.8,81.84,32.56,36.16,28.92,,,,,0.6,0.4,0.1,0.1,0.0,,,31.43,37.24,26.12,35.21,37.81,32.22,,,,,,3.7592623536913976,,,,,,,2060334.0,,,2.0,15.4,18243650.0,89250281.0,3358251.0,19.76,16.95,22.69,24.8,23.3,26.5,
PHILIPPINES,2007,,84.93,85.83,84.07,60.21,64.87,55.65,,,,,4.2,2.5,1.0,0.4,0.3,,,73.06,78.29,68.37,75.37,80.47,70.15,,,,,,4.57888445644312,,,,,,,-198481639.0,,,100.0,6.8,1160979516.0,7198244888.0,87748896.0,5.99,4.72,7.17,7.5,5.6,9.3,
NCR: National Capital Region,2007,,94.42,95.69,93.21,80.16,82.18,78.1,,,,,5.2,3.2,1.2,0.5,0.3,,,85.35,89.37,81.33,78.71,86.03,71.64,,,,,,4.989651882035574,,,,,,,-72647490.0,,,42.9,9.2,410794316.0,2399583921.0,11306759.0,2.83,1.8,3.72,6.1,3.5,8.6,
CAR: Cordillera Administrative Region,2007,,81.5,82.01,81.01,57.04,63.57,50.71,,,,,3.1,1.8,0.9,0.3,0.2,,,71.7,76.76,67.23,75.67,82.36,68.82,,,,,,5.577004787071061,,,,,,,2224400.0,,,2.3,3.4,26901466.0,153956921.0,1551914.0,6.41,5.09,7.59,7.8,5.3,10.4,
Region 1: Ilocos Region,2007,,83.14,82.97,83.3,67.62,70.85,64.5,,,,,4.8,2.7,1.2,0.4,0.5,,,82.71,86.1,79.69,82.34,87.56,77.28,,,,,,4.671400811903553,,,,,,,-7528468.0,,,4.2,0.8,41310895.0,235792743.0,4595262.0,3.76,2.92,4.52,4.8,3.1,6.6,
Region 2: Cagayan Valley,2007,,77.53,77.89,77.19,59.47,64.55,54.63,,,,,3.9,2.3,0.9,0.2,0.5,,,78.06,83.23,73.47,78.96,82.98,74.8,,,,,,5.103214067393765,,,,,,,24258860.0,,,2.7,1.8,71904291.0,154237291.0,3110132.0,4.95,3.71,6.09,6.7,5.3,8.3,
Region 3: Central Luzon,2007,,91.37,91.76,91.01,70.78,74.48,67.21,,,,,5.0,2.9,1.1,0.5,0.4,,,80.68,84.7,77.09,76.58,81.81,71.44,,,,,,3.720296230980935,,,,,,,-27299916.0,,,6.3,9.1,92665051.0,721803908.0,9572279.0,3.97,3.02,4.85,6.8,4.9,8.7,
Region 4A: CALABARZON,2007,,94.02,94.62,93.45,73.86,78.22,69.59,,,,,4.7,2.8,1.0,0.5,0.4,,,79.29,84.62,74.54,80.64,86.81,74.53,,,,,,2.5738832555453115,,,,,,,-56711613.0,,,7.0,0.7,119653336.0,1194749373.0,11652912.0,4.41,3.21,5.5,5.5,3.2,7.7,
MIMAROPA: Southwestern Tagalog Region,2007,,84.07,84.9,83.28,59.28,64.67,54.07,,,,,3.5,2.0,0.8,0.3,0.4,,,68.06,72.43,64.14,72.59,76.58,68.36,,,,,,7.619860406054471,,,,,,,-15985915.0,,,2.4,7.0,3017260.0,148513117.0,2621744.0,7.4,6.29,8.4,8.8,7.4,10.2,
Region 5: Bicol Region,2007,,85.41,86.29,84.57,55.97,62.01,50.24,,,,,,3.1,0.7,0.4,0.4,,,74.36,79.29,69.96,74.05,77.81,69.95,,,,,,5.84879068102228,,,,,,,350885.0,,,4.0,1.3,37647782.0,178100846.0,5214165.0,5.78,4.61,6.83,8.4,7.0,9.8,
Region 6: Western Visayas,2007,,75.44,75.9,75.0,53.83,59.21,48.59,,,,,,2.3,1.1,0.4,0.4,,,71.87,78.95,65.78,75.52,80.78,69.96,,,,,,5.338760742934085,,,,,,,5404782.0,,,4.7,0.3,61931227.0,329317934.0,6857616.0,6.14,4.45,7.65,7.1,5.3,8.8,
Region 7: Central Visayas,2007,,80.28,80.91,79.68,54.57,60.63,48.62,,,,,4.2,2.3,1.2,0.5,0.3,,,78.38,84.91,72.53,72.59,80.34,64.71,,,,,,6.306427290969864,,,,,,,-27281777.0,,,2.9,7.5,51229324.0,394422136.0,6483984.0,4.65,3.25,5.9,9.0,6.0,11.9,
Region 8: Eastern Visayas,2007,,79.19,80.59,77.86,51.49,58.0,45.31,,,,,3.5,2.2,0.7,0.3,0.3,,,69.51,75.76,63.93,69.68,72.61,66.49,,,,,,1.821488552952772,,,,,,,-24688486.0,,,3.7,9.4,28872332.0,187305762.0,3942341.0,6.99,5.43,8.44,9.8,8.8,10.9,
Region 9: Zamboanga Peninsula,2007,,78.99,79.63,78.37,50.18,55.15,45.22,,,,,3.0,1.8,0.7,0.3,0.2,,,60.14,67.07,54.07,69.44,74.19,64.38,,,,,,5.81479850014675,,,,,,,7176296.0,,,3.2,2.7,36393184.0,140783508.0,3263037.0,9.89,8.04,11.6,10.1,8.2,12.1,
Region 10: Northern Mindanao,2007,,80.6,81.58,79.66,51.7,56.91,46.59,,,,,3.4,1.9,0.9,0.4,0.2,,,67.94,73.93,62.66,71.68,76.16,66.94,,,,,,5.32962886093344,,,,,,,13825301.0,,,3.0,15.6,56935962.0,278501999.0,4078040.0,7.23,5.66,8.67,9.0,7.4,10.7,
Region 11: Davao Region,2007,,77.38,78.36,76.44,49.12,53.93,44.38,,,,,3.8,2.3,0.9,0.5,0.2,,,65.49,72.39,59.42,70.45,74.28,66.32,,,,,,4.16899742651546,,,,,,,-7510156.0,,,3.2,7.9,53906127.0,289561841.0,4241222.0,8.26,6.45,9.93,8.9,7.5,10.3,
Region 12: SOCCSKSARGEN,2007,,78.65,79.94,77.4,50.62,55.91,45.43,,,,,3.1,1.7,0.7,0.4,0.2,,,65.46,71.39,60.09,70.93,74.69,66.97,,,,,,4.232484028420998,,,,,,,-2902424.0,,,3.2,0.3,29560684.0,185204666.0,3489855.0,8.29,6.75,9.75,9.1,7.6,10.6,
CARAGA: CARAGA Administrative Region,2007,,81.46,82.15,80.82,48.64,53.18,44.24,,,,,3.4,2.0,0.8,0.4,0.3,,,71.82,78.61,65.93,72.98,75.54,70.24,,,,,,4.936549105559891,,,,,,,2066721.0,,,2.2,8.5,28536461.0,111530938.0,2336294.0,6.42,4.73,7.95,8.8,7.9,9.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2007,,94.01,98.6,89.44,34.58,38.59,30.52,,,,,0.6,0.4,0.1,0.1,0.0,,,41.29,44.8,37.7,65.36,66.85,63.52,,,,,,2.9570051641038475,,,,,,,-11232638.0,,,2.0,11.8,9719819.0,94877985.0,3431340.0,15.77,14.28,17.37,9.3,8.7,10.1,
PHILIPPINES,2008,,85.11,85.7,84.55,60.74,65.18,56.39,,,,,4.3,2.5,1.0,0.5,0.3,46.8,54.0,73.28,77.89,69.13,75.24,79.94,70.44,,,,,,2.463484297148355,,,,,,,-10934733.0,,,100.0,16.2,1526893379.0,8050200621.0,89359772.0,6.02,4.87,7.07,7.4,5.8,9.1,
NCR: National Capital Region,2008,,93.69,94.72,92.71,80.79,82.15,79.4,,,,,5.2,3.2,1.2,0.5,0.3,43.2,25.0,85.27,87.46,82.91,79.6,84.87,74.35,,,,,,2.771026072994303,,,,,,,-16791691.0,,,43.9,16.6,541772989.0,2655351616.0,11500331.0,2.92,2.13,3.43,5.6,3.8,7.3,
CAR: Cordillera Administrative Region,2008,,81.93,82.19,81.69,57.14,62.71,51.74,,,,,3.3,1.9,0.9,0.3,0.2,55.0,34.0,75.81,81.19,71.11,82.38,89.2,75.41,,,,,,2.1033717636687044,,,,,,,1699529.0,,,2.2,10.0,29704835.0,165532965.0,1575358.0,5.49,4.16,6.67,5.1,2.7,7.6,
Region 1: Ilocos Region,2008,,82.85,82.54,83.14,68.22,71.32,65.24,,,,,5.0,2.8,1.2,0.5,0.5,49.7,52.0,84.83,87.34,82.56,81.21,85.54,77.01,,,,,,1.7745232099705532,,,,,,,-1384595.0,,,4.0,6.4,50763801.0,265782293.0,4649520.0,3.09,2.41,3.71,5.4,3.9,6.8,
Region 2: Cagayan Valley,2008,,76.23,76.32,76.14,58.34,63.36,53.56,,,,,4.0,2.4,0.9,0.2,0.5,62.6,54.0,80.45,84.65,76.69,79.76,83.73,75.65,,,,,,1.083638592714408,,,,,,,18866447.0,,,2.6,15.2,73649021.0,174606287.0,3152079.0,4.3,3.28,5.24,6.1,4.8,7.4,
Region 3: Central Luzon,2008,,90.93,91.01,90.86,71.24,74.63,67.95,,,,,5.0,2.9,1.2,0.6,0.4,54.0,69.0,81.35,85.29,77.83,76.29,80.57,72.06,,,,,,3.033029750938596,,,,,,,-1141473.0,,,6.4,20.3,138098487.0,832147448.0,9770406.0,3.94,3.05,4.75,6.9,5.4,8.3,
Region 4A: CALABARZON,2008,,94.1,94.56,93.67,74.89,79.14,70.74,,,,,4.6,2.7,1.0,0.5,0.3,46.1,63.0,81.62,86.07,77.63,81.0,86.93,75.12,,,,,,0.6843353527736156,,,,,,,-51903824.0,,,6.6,20.3,149756689.0,1286125893.0,11988312.0,3.87,2.87,4.8,5.4,3.2,7.4,
MIMAROPA: Southwestern Tagalog Region,2008,,85.42,85.91,84.96,59.67,64.83,54.69,,,,,3.5,2.0,0.8,0.3,0.4,48.5,87.0,71.64,76.54,67.27,72.56,76.48,68.5,,,,,,3.2562046730027987,,,,,,,1808683.0,,,2.4,16.7,22411802.0,174989809.0,2665411.0,6.4,5.23,7.46,8.2,6.8,9.6,
