,Geolocation,Year,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases
98,Region 5: Bicol Region,2021,3.665473692233265,227.0
99,Region 6: Western Visayas,2021,4.8428270517308025,386.0
100,Region 7: Central Visayas,2021,5.052905283973277,407.0
101,Region 8: Eastern Visayas,2021,5.474870034287675,263.0
102,Region 9: Zamboanga Peninsula,2021,6.194973671361897,236.0
103,Region 10: Northern Mindanao,2021,5.616247152710489,285.0
104,Region 11: Davao Region,2021,6.627874980404949,356.0
105,Region 12: SOCCSKSARGEN,2021,4.031386247316922,201.0
106,CARAGA: Cordillera Administrative Region,2021,7.799532603124558,217.0
107,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2021,8.734968185278746,373.0
