Geolocation,Year,8.1.1 Growth rate of real GDP per capita
Region 10: Northern Mindanao,2007,5.32962886093344
Region 11: Davao Region,2007,4.16899742651546
Region 12: SOCCSKSARGEN,2007,4.232484028420998
CARAGA: CARAGA Administrative Region,2007,4.936549105559891
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2007,2.9570051641038475
PHILIPPINES,2008,2.463484297148355
NCR: National Capital Region,2008,2.771026072994303
CAR: Cordillera Administrative Region,2008,2.1033717636687044
Region 1: Ilocos Region,2008,1.7745232099705532
Region 2: Cagayan Valley,2008,1.083638592714408
Region 3: Central Luzon,2008,3.033029750938596
Region 4A: CALABARZON,2008,0.6843353527736156
MIMAROPA: Southwestern Tagalog Region,2008,3.2562046730027987
Region 5: Bicol Region,2008,3.660203715087548
Region 6: Western Visayas,2008,3.485104615816724
Region 7: Central Visayas,2008,3.373899714217089
Region 8: Eastern Visayas,2008,3.40742363268636
Region 9: Zamboanga Peninsula,2008,1.3578605101900223
Region 10: Northern Mindanao,2008,3.540598894554776
Region 11: Davao Region,2008,1.9675460150471904
Region 12: SOCCSKSARGEN,2008,2.7278503327793544
CARAGA: CARAGA Administrative Region,2008,1.3560643277680242
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2008,-0.5839999628623218
PHILIPPINES,2009,-0.3520272859113333
NCR: National Capital Region,2009,-1.7184124438690844
CAR: Cordillera Administrative Region,2009,0.7371908800771365
Region 1: Ilocos Region,2009,-1.263560033872977
Region 2: Cagayan Valley,2009,0.8358897470857727
Region 3: Central Luzon,2009,-1.3478828681357695
Region 4A: CALABARZON,2009,-3.478451191321738
MIMAROPA: Southwestern Tagalog Region,2009,2.9029716037283606
Region 5: Bicol Region,2009,5.586480535080639
Region 6: Western Visayas,2009,4.312947819300987
Region 7: Central Visayas,2009,1.3138918709686038
Region 8: Eastern Visayas,2009,2.487710281903219
Region 9: Zamboanga Peninsula,2009,5.151711049080546
Region 10: Northern Mindanao,2009,1.4414203375929304
Region 11: Davao Region,2009,3.0199742670523197
Region 12: SOCCSKSARGEN,2009,-0.1145238156530297
CARAGA: CARAGA Administrative Region,2009,0.5746731855805507
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,1.0382734235328712
PHILIPPINES,2010,5.453808141858346
NCR: National Capital Region,2010,4.58724612183083
CAR: Cordillera Administrative Region,2010,4.611006446855598
Region 1: Ilocos Region,2010,7.426453497815501
Region 2: Cagayan Valley,2010,2.72351075542818
Region 3: Central Luzon,2010,7.861806449711523
Region 4A: CALABARZON,2010,7.279562477489492
MIMAROPA: Southwestern Tagalog Region,2010,-0.7606446985672193
Region 5: Bicol Region,2010,4.505054041060944
Region 6: Western Visayas,2010,3.397629724928237
Region 7: Central Visayas,2010,10.180463520665311
Region 8: Eastern Visayas,2010,4.4831525896237565
Region 9: Zamboanga Peninsula,2010,1.8787926995154576
Region 10: Northern Mindanao,2010,4.32248497961551
Region 11: Davao Region,2010,4.696809340549095
Region 12: SOCCSKSARGEN,2010,1.4563465107246572
CARAGA: CARAGA Administrative Region,2010,8.931179381321769
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,6.379147571312259
PHILIPPINES,2011,2.061136379092005
NCR: National Capital Region,2011,0.7056681457364107
CAR: Cordillera Administrative Region,2011,-0.8184313880145595
Region 1: Ilocos Region,2011,2.7602023741366395
Region 2: Cagayan Valley,2011,5.009277059783429
Region 3: Central Luzon,2011,5.734126455339521
Region 4A: CALABARZON,2011,-0.3462034812161221
MIMAROPA: Southwestern Tagalog Region,2011,2.300266510700183
Region 5: Bicol Region,2011,2.1163616986964517
Region 6: Western Visayas,2011,5.012606125834736
Region 7: Central Visayas,2011,5.353704995510583
Region 8: Eastern Visayas,2011,1.186317969406076
Region 9: Zamboanga Peninsula,2011,-1.190605513344991
Region 10: Northern Mindanao,2011,4.141792672661012
