Geolocation,Year,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),4.c TVET trainers trained
NCR: National Capital Region,2020,69.36,71.64279840302743,67.2565337480673,73.64527371864305,77.58622638233132,69.86508362426143,56.25539729251835,61.92332017202875,50.88189134422335,,,,,,,,,,782.0
CAR: Cordillera Administrative Region,2020,94.56,95.5239772648218,93.65486415720753,87.86047461554662,91.15916145467932,84.67936197139771,81.1514538910687,85.66875380275458,76.67328830956397,,,,,,,,,,92.0
Region 1: Ilocos Region,2020,97.32,97.89334556804243,96.79322389976971,91.96226052393231,94.39209677157342,89.67004933156329,84.45021844490022,88.05399920059904,81.02765715733106,,,,,,,,,,375.0
Region 2: Cagayan Valley,2020,98.56,99.1308410037858,97.8846240366255,95.80683587831814,98.25947813136384,93.3944992621836,90.35610770565052,94.49041923226925,86.23693235745421,,,,,,,,,,215.0
Region 3: Central Luzon,2020,86.62,86.85542547734023,82.56038229465358,84.01234849712648,87.88574132298861,80.3256454484575,72.07268501608172,77.75662475067074,66.70525168520189,,,,,,,,,,277.0
Region 4A: CALABARZON,2020,78.03,80.60771823485791,75.66110316522705,81.49789878312576,85.64039854168522,77.56288941396346,64.19993874135481,69.86953780806894,58.85425133112447,,,,,,,,,,177.0
MIMAROPA: Southwestern Tagalog Region,2020,90.55,92.31964000705447,88.89211512366482,84.39369684032266,88.75949658193373,80.1954784632434,72.90367006636758,78.93000650071251,67.10545907476546,,,,,,,,,,162.0
Region 5: Bicol Region,2020,77.47,80.21423338506219,74.95884311800924,67.84886625240013,74.01014068729856,62.089740204535936,51.05055270405532,57.42852294447712,45.09884586598221,,,,,,,,,,292.0
Region 6: Western Visayas,2020,93.46,95.1076520218155,91.94108132591964,93.50669345700295,95.18753729499988,91.87510372420032,85.19694765122162,89.31104212684092,81.08519477110403,,,,,,,,,,111.0
Region 7: Central Visayas,2020,82.69,85.07644296409859,80.50276173646168,79.18644440770781,83.41156832170549,75.08313153465029,67.31807950980419,72.99751912699881,61.82018400766536,,,,,,,,,,267.0
Region 8: Eastern Visayas,2020,95.23336964130102,96.7255849525635,93.84357719530054,89.4398617982444,93.42314037081384,85.55364945278997,82.50550388063633,87.93789767316056,77.17285985547201,,,,,,,,,,227.0
Region 9: Zamboanga Peninsula,2020,84.45786746776032,87.32174864075151,81.75706369841477,87.12404365636907,90.09627214735904,84.09045325838602,77.00337843536857,80.71941127023224,73.14884431473332,,,,,,,,,,148.0
Region 10: Northern Mindanao,2020,82.90732492745173,85.7430952305051,80.29802307615266,83.11686557286312,86.76833981035054,79.50828504322833,74.57098728626106,80.39951269150303,68.67070168947407,,,,,,,,,,224.0
Region 11: Davao Region,2020,73.48702482127726,76.82570613861992,70.40156119560103,74.90926268733105,79.38337241701367,70.47724556263285,58.74642177444313,63.8902451027064,53.643282789618006,,,,,,,,,,332.0
Region 12: SOCCSKSARGEN,2020,87.07055042287614,88.84056946059462,85.40543716751372,82.58061375099453,86.15267309930043,78.94306954695828,73.87811305362611,79.12070672428139,68.58686166470011,,,,,,,,,,144.0
CARAGA: Cordillera Administrative Region,2020,93.41611935808768,94.41165400736128,92.48034706760336,90.06976318070897,92.7164629588721,87.4862578166416,82.41924267798913,86.81056500487718,78.11609061257805,,,,,,,,,,64.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2020,63.98043974848213,66.80720348687325,61.11566141451609,72.76109863685919,77.45461912667983,67.36644782733177,56.88636333310178,61.19456326945275,51.916326569164006,,,,,,,,,,134.0
PHILIPPINES,2021,,,,,,,,,,,,,,,,,,,7746.0
NCR: National Capital Region,2021,,,,,,,,,,,,,,,,,,,1985.0
CAR: Cordillera Administrative Region,2021,,,,,,,,,,,,,,,,,,,199.0
Region 1: Ilocos Region,2021,,,,,,,,,,,,,,,,,,,327.0
Region 2: Cagayan Valley,2021,,,,,,,,,,,,,,,,,,,240.0
Region 3: Central Luzon,2021,,,,,,,,,,,,,,,,,,,471.0
Region 4A: CALABARZON,2021,,,,,,,,,,,,,,,,,,,647.0
MIMAROPA: Southwestern Tagalog Region,2021,,,,,,,,,,,,,,,,,,,255.0
Region 5: Bicol Region,2021,,,,,,,,,,,,,,,,,,,339.0
Region 6: Western Visayas,2021,,,,,,,,,,,,,,,,,,,426.0
Region 7: Central Visayas,2021,,,,,,,,,,,,,,,,,,,532.0
Region 8: Eastern Visayas,2021,,,,,,,,,,,,,,,,,,,416.0
Region 9: Zamboanga Peninsula,2021,,,,,,,,,,,,,,,,,,,446.0
Region 10: Northern Mindanao,2021,,,,,,,,,,,,,,,,,,,378.0
Region 11: Davao Region,2021,,,,,,,,,,,,,,,,,,,543.0
Region 12: SOCCSKSARGEN,2021,,,,,,,,,,,,,,,,,,,153.0
CARAGA: Cordillera Administrative Region,2021,,,,,,,,,,,,,,,,,,,149.0
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2021,,,,,,,,,,,,,,,,,,,240.0
