1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,Boys,56.4,53.14,51.92,52.19,51.07,49,47.08,48.59,49.01,50.54,55.47,56.39,57,59.16,59.07,68.44,68.02,70.54,80.14,81.63,84.6275,...,...
,,Girls,62.63,63.76,62.88,63.69,63.01,60.99,58.85,59.21,59.08,61.36,67.6,68.82,69.73,71.69,71.59,81.36,80.81,82.66,89.21,89.96,91.3535,...,...
,..Region VII,Both Sexes,67.18,55.65,57.3,58.38,57.4,54.76,53.86,54.57,55.49,56.69,61.46,61.16,64.02,68.13,67.76,75.94,76.58,78.51,87.64,88.52,85.4465,...,...
,,Boys,60.61,51.08,52.2,52.89,52.03,48.94,48.26,48.62,50.13,50.37,55.2,54.77,57.65,61.44,60.81,69.02,69.9,71.91,82.27,83.37,80.7059,...,...
,,Girls,74.84,60.3,62.5,63.97,62.86,60.69,59.56,60.63,60.96,63.46,68.09,67.94,70.8,75.26,75.2,83.37,83.73,85.53,93.34,93.97,90.4341,...,...
,..Region VIII,Both Sexes,48.21,48.48,48.99,49.96,50.64,50.09,49.88,51.49,53.28,52.45,56.55,58.48,60.03,63.32,62.3,69.55,70.89,74.21,79.27,80.05,81.609,...,...
,,Boys,42.22,43.41,42.9,43.36,44.16,43.79,43.43,45.31,46.85,46.3,50.11,51.39,53.26,56.79,56.18,63.63,64.9,68.24,74.33,75.5,77.576,...,...
,,Girls,54.64,53.82,55.41,56.91,57.48,56.74,56.68,58,60.06,59.05,63.44,66.14,67.33,70.34,68.86,75.87,77.28,80.55,84.51,84.85,85.861,...,...
,..Region IX,Both Sexes,59.75,43.95,49.24,49.31,50.47,47.17,47.7,50.18,49.28,48.75,51.02,50.83,51.63,52.83,53.14,61.73,62.18,65.44,73.88,74.24,74.8405,...,...
,,Boys,57.11,40.13,44.79,44.04,45.13,42.16,42.74,45.22,44.4,43.62,45.36,45.21,45.46,46.55,46.69,55.14,55.73,59.49,68.79,69.13,70.346,...,...
,,Girls,62.4,47.79,53.7,54.6,55.83,52.2,52.67,55.15,54.18,54.02,56.96,56.74,58.14,59.48,60,68.75,69.02,71.71,79.2,79.54,79.4786,...,...
,..Region X,Both Sexes,57.26,51.92,53.4,53.8,52.08,51.27,51.23,51.7,50.67,50.61,55.24,55.55,57.35,56.67,57.55,63.77,65.08,68.09,75.27,76.75,76.5254,...,...
