4.1.s1 Completion Rate of elementary and secondary students 1/ 2/,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Year,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022
Geolocation,Level of Education,Sex,,,,,,,,,,,,,,,,,,,,,,,
..Region XI,Elementary,Both Sexes,60.19,67.55,68.51,64.66,62.47,56.59,57.22,65.49,62.72,66.97,63.7,61.62,64.52,75.51,83.34,88.84,92.22,92.11,96.65,95.29,73.48702482127726,...,...
,,Female,65.15,71.06,73.06,71.78,71.07,63.19,63.12,72.39,69.39,74.26,70.78,68.66,71.19,81.12,86.89,93.81,95.71,94.96,99.48,97.85,76.82570613861992,...,...
,,Male,55.69,64.23,64.19,58.47,55.11,50.83,52.06,59.42,56.96,60.73,57.65,55.59,58.78,70.56,80.13,84.43,89.09,89.54,93.44,92.88,70.40156119560103,...,...
,Secondary (Junior High School),Both Sexes,73.33,68.53,73.08,61.38,68.81,51.38,64.75,70.45,72.57,68.78,72.96,68.63,72.22,71.89,79.76,73.44,78.87,80.17,84.85,81.51,74.90926268733105,...,...
,,Female,76.54,70.92,79,66.73,73.35,59.06,69,74.28,77.73,70.44,81.34,74.95,77.03,76.36,82.37,78.21,83.23,83.94,90.5,86.45,79.38337241701367,...,...
,,Male,69.77,65.82,66.82,55.85,64.01,43.53,60.14,66.32,67.17,66.96,64.58,62.22,67.21,67.31,77.09,68.62,74.32,76.29,79.18,76.56,70.47724556263285,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.53,72.25,58.74642177444313,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.33,76.7,63.8902451027064,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.64,67.46,53.643282789618006,...,...
..Region XII,Elementary,Both Sexes,46.77,51.07,62.25,63.36,60.58,58,62.07,65.46,66.01,62.29,63.35,63.36,66,73.6,93.31,83.68,86.06,91.08,94.71,96.01,87.07055042287614,...,...
,,Female,43.23,52.27,66.56,69.69,68.05,64.93,67.68,71.39,72.15,68.71,68.42,69.17,71.49,78.73,96.17,87.75,89.32,93.87,97.47,98.09,88.84056946059462,...,...
,,Male,49.73,49.93,58.39,57.71,53.99,51.82,56.94,60.09,60.54,56.64,58.8,58.19,61.06,68.99,90.51,79.99,83.1,88.53,92.02,94.07,85.40543716751372,...,...
,Secondary (Junior High School),Both Sexes,63.19,63.96,76.79,66.24,76.91,48.87,55.93,70.93,68.24,73.3,72.34,69.21,71.76,73.9,84.46,73,74.41,79.86,81.79,82.51,82.58061375099453,...,...
,,Female,65.8,65.49,81.58,71.63,82.67,54.59,58.99,74.69,72.6,76.64,75.63,74.29,75.83,79.32,85.49,76.37,77.54,83.21,86.12,86.88,86.15267309930043,...,...
,,Male,60.4,62.35,71.78,60.69,70.97,43.02,52.7,66.97,63.75,69.78,68.95,64.11,67.61,68.42,83.4,69.58,71.16,76.4,77.36,78.06,78.94306954695828,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.83,73.02,73.87811305362611,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.07,77.2,79.12070672428139,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.03,67.52,68.58686166470011,...,...
..Caraga,Elementary,Both Sexes,56.66,69.09,69.33,66.93,59.32,67.07,64.23,71.82,71.89,66.36,71.21,66,72.38,80.73,86.86,84.24,92.26,90.94,95.36,95.0,93.41611935808767,...,...
,,Female,61.06,72.58,75.96,73.64,68.11,74.62,71.17,78.61,77.55,73.8,77.64,73.2,79.94,86.06,90.02,87.86,94.44,94.02,98.17,96.38,94.41165400736128,...,...
,,Male,52.53,65.83,63.6,61.17,52,60.55,58.28,65.93,66.92,60.11,65.75,59.96,65.96,76.04,83.94,81.01,90.3,88.18,92.8,93.72,92.48034706760336,...,...
,Secondary (Junior High School),Both Sexes,60.57,63.02,79.63,64,71.9,58.02,69.92,72.98,73.64,59.85,71.04,69.53,69.78,73.4,77.51,70.56,77.2,82.42,85.41,83.69,90.06976318070897,...,...
,,Female,63.28,64.64,82.23,68.53,76.28,63.23,74.48,75.54,76.48,63.41,74.86,73.82,74.36,77.19,79.65,73.82,79.99,84.98,89.55,86.66,92.7164629588721,...,...
,,Male,57.68,61.19,76.8,59.25,67.33,52.5,65.07,70.24,70.7,56.24,67.24,65.33,65.25,69.55,75.34,67.29,74.35,79.82,81.32,80.81,87.4862578166416,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.16,73.02,82.41924267798913,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.59,75.25,86.81056500487718,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.73,70.88,78.11609061257805,...,...
..BARMM,Elementary,Both Sexes,24.3,31.9,46.6,27.95,31.33,34.76,31.43,41.29,37.5,37.23,39.29,23.46,26.6,39.16,35.33,37.15,65.47,54.17,76.72,74.98,63.980439748482134,...,...
,,Female,24.35,33.06,52.32,29.21,33.35,34.56,37.24,44.8,40.24,41.33,41.7,24.72,28.61,41.78,36.58,40.07,68.95,55.4,79.14,77.16,66.80720348687325,...,...
,,Male,24.26,30.65,40.99,26.6,29.22,34.85,26.12,37.7,34.62,33.1,36.75,22.04,24.45,36.42,33.92,34.17,61.82,52.84,74.2,72.61,61.11566141451609,...,...
,Secondary (Junior High School),Both Sexes,58.35,64.41,60.94,62.33,45.29,53,35.21,65.36,53.55,65.4,59.47,55.98,52.55,56.17,48.73,63.99,78.67,62.13,93.81,86.59,72.76109863685919,...,...
,,Female,58.65,66.32,71.5,56.66,44.01,54.81,37.81,66.85,55.35,67.63,61.8,59.86,54.05,58.74,50.29,65.03,79.87,62.1,93.6,88.24,77.45461912667983,...,...
,,Male,57.98,62.25,49.72,69.53,46.82,50.93,32.22,63.52,51.32,62.59,56.55,51.19,50.58,52.86,46.67,62.63,77.11,62.24,92.8,84.59,67.36644782733177,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.08,66.24,56.88636333310178,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.73,67.8,61.19456326945275,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.6,64.34,51.916326569164006,...,...
,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
.. - Data not available ,,,,,,,,,,,,,,,,,,,,,,,,,
... - Data not yet available ,,,,,,,,,,,,,,,,,,,,,,,,,
1/ - Updates were based on the submission of Department of Education on March 2022,,,,,,,,,,,,,,,,,,,,,,,,,
2/ - Estimation in Senior High School only started in SY 2018-2019,,,,,,,,,,,,,,,,,,,,,,,,,
3/ - Estimation for Region IV-A and MIMAROPA is still merge in 2000 and 2001,,,,,,,,,,,,,,,,,,,,,,,,,
