1.4.1p5 Net Enrolment Rate in elementary (Indicator is also found in SDG 4.3.s1) 1/ ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Boys,96.28,88.85,85.24,82.6,79.88,76.53,74.45,75.0,74.81,85.9,92.0,94.91,96.06,97.56,98.64,99.27,99.72,97.64,98.24,97.74,94.3939,...,...
,Girls,96.03,90.37,86.7,83.92,81.13,77.77,75.49,75.9,75.05,88.15,94.87,96.78,96.97,97.88,98.28,98.5,98.42,96.66,96.47,96.75,93.4375,...,...
..Region VII,Both Sexes,98.6,88.56,88.09,85.57,83.53,80.08,78.87,80.28,81.38,90.87,95.48,98.5,99.79,100.97,101.62,102.14,101.55,98.41,98.17,98.07,92.9937,...,...
,Boys,97.17,88.01,87.54,84.9,82.88,79.37,78.28,79.68,81.29,89.2,94.23,97.32,99.07,100.59,101.32,102.01,101.69,98.47,98.62,98.08,92.999,...,...
,Girls,99.99,89.13,88.66,86.26,84.2,80.81,79.48,80.91,81.46,92.67,96.8,99.77,100.56,101.36,101.93,102.28,101.41,98.35,97.69,98.05,92.9882,...,...
..Region VIII,Both Sexes,94.58,86.98,85.91,83.74,83.44,80.03,78.15,79.19,80.33,90.23,95.39,96.58,96.13,95.7,95.99,95.03,94.0,92.64,91.53,91.6,89.0772,...,...
,Boys,93.67,85.61,84.54,81.99,81.53,78.22,76.48,77.86,79.46,88.72,93.91,95.55,95.69,95.49,95.82,94.81,94.19,92.76,91.82,91.44,89.1237,...,...
,Girls,95.53,88.42,87.35,85.57,85.44,81.93,79.9,80.59,81.24,91.85,96.97,97.68,96.59,95.93,96.18,95.27,93.79,92.5,91.23,91.76,89.0283,...,...
..Region IX,Both Sexes,93.44,90.22,89.74,84.83,82.83,79.14,77.59,78.99,79.25,91.66,94.34,97.27,95.03,91.62,93.86,92.46,91.24,90.3,91.24,91.7,89.1941,...,...
,Boys,93.06,89.93,89.43,84.02,81.94,78.3,76.78,78.37,78.87,90.45,92.83,96.18,94.41,91.41,94.04,92.78,91.56,90.21,91.25,91.22,88.706,...,...
,Girls,93.82,90.52,90.07,85.66,83.74,80.0,78.42,79.63,79.65,92.92,95.94,98.42,95.69,91.83,93.67,92.13,90.91,90.4,91.23,92.2,89.7044,...,...
